label,group,model,accuracy,auc,sensitivity,specificity,precision,f1,brier,ece,n,cm,color,note,source_run,source_method
k=4,Qwen3.6 CLIP+DINO k-sweep,Qwen3.6,0.9465020576131687,0.96366566642485,0.9260700389105059,0.9576271186440678,0.9224806201550387,0.9242718446601942,0.04993374485596706,0.030301783264746297,729,"[[452,20],[19,238]]",#F5A623,Qwen3.6 non-thinking temp=1; JSON probability; references selected by 0.5 CLIP + 0.5 DINOv3 CLS.,classification_qwen36_27b_vllm_clip_dinov3cls05_k4_temp1_nonthinking_b256,rg_icl_dual_global_similarity
k=6,Qwen3.6 CLIP+DINO k-sweep,Qwen3.6,0.9465020576131687,0.9751904306535646,0.9299610894941635,0.9555084745762712,0.9192307692307692,0.9245647969052223,0.04748875171467763,0.032908093278463675,729,"[[451,21],[18,239]]",#F5A623,Qwen3.6 non-thinking temp=1; JSON probability; references selected by 0.5 CLIP + 0.5 DINOv3 CLS.,classification_qwen36_27b_vllm_clip_dinov3cls05_k6_temp1_nonthinking_b256,rg_icl_dual_global_similarity
k=8,Qwen3.6 CLIP+DINO k-sweep,Qwen3.6,0.9451303155006858,0.9747823649673547,0.9221789883268483,0.9576271186440678,0.9221789883268483,0.9221789883268483,0.0488352537722908,0.032496570644718836,729,"[[452,20],[20,237]]",#F5A623,Qwen3.6 non-thinking temp=1; JSON probability; references selected by 0.5 CLIP + 0.5 DINOv3 CLS.,classification_qwen36_27b_vllm_clip_dinov3cls05_k8_temp1_nonthinking_b256,rg_icl_dual_global_similarity
k=10,Qwen3.6 CLIP+DINO k-sweep,Qwen3.6,0.943758573388203,0.9732284178592627,0.9299610894941635,0.951271186440678,0.9122137404580153,0.9210019267822736,0.050243621399176944,0.025404663923182486,729,"[[449,23],[18,239]]",#F5A623,Qwen3.6 non-thinking temp=1; JSON probability; references selected by 0.5 CLIP + 0.5 DINOv3 CLS.,classification_qwen36_27b_vllm_clip_dinov3cls05_k10_temp1_nonthinking_b256,rg_icl_dual_global_similarity
