label,group,model,accuracy,auc,sensitivity,specificity,precision,f1,brier,ece,n,cm,color,note,source_run,source_method
CLIP L/14,Qwen3.6 VLM ICL,Qwen3.6,0.9272976680384087,0.9736035085405262,0.9105058365758755,0.9364406779661016,0.8863636363636364,0.8982725527831094,0.059781344307270216,0.06115226337448559,729,"[[442,30],[23,234]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_clip_k6_global_similarity,rg_icl_global_similarity
BiomedCLIP,Qwen3.6 VLM ICL,Qwen3.6,0.9108367626886146,0.9555249620787444,0.8832684824902723,0.9258474576271186,0.8664122137404581,0.8747591522157996,0.07474238683127571,0.04016460905349789,729,"[[437,35],[30,227]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_biomedclip_k6_global_similarity,rg_icl_global_similarity
OpenCLIP H/14,Qwen3.6 VLM ICL,Qwen3.6,0.9204389574759945,0.9582041812306272,0.9260700389105059,0.9173728813559322,0.8592057761732852,0.8913857677902622,0.06620274348422495,0.04337448559670777,729,"[[433,39],[19,238]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_openclip_h14_k6_global_similarity,rg_icl_global_similarity
OpenCLIP bigG/14,Qwen3.6 VLM ICL,Qwen3.6,0.9272976680384087,0.9691065422409814,0.953307392996109,0.913135593220339,0.8566433566433567,0.9023941068139963,0.060344581618655684,0.04565157750342928,729,"[[431,41],[12,245]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_openclip_bigg14_k6_global_similarity,rg_icl_global_similarity
SigLIP2 SO400M,Qwen3.6 VLM ICL,Qwen3.6,0.9176954732510288,0.9573880498582075,0.9182879377431906,0.9173728813559322,0.8581818181818182,0.8872180451127818,0.06871069958847735,0.04190672153635114,729,"[[433,39],[21,236]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_siglip2_so400m_k6_global_similarity,rg_icl_global_similarity
CLIP+DINOv3,Qwen3.6 VLM ICL,Qwen3.6,0.9465020576131687,0.9751904306535646,0.9299610894941635,0.9555084745762712,0.9192307692307692,0.9245647969052223,0.04748875171467763,0.032908093278463675,729,"[[451,21],[18,239]]",#F5A623,Qwen3.6 backbone/retrieval ablation.,classification_qwen36_27b_vllm_clip_dinov3cls05_k6_temp1_nonthinking_b256,rg_icl_dual_global_similarity
