label,group,model,accuracy,auc,sensitivity,specificity,precision,f1,brier,ece,n,cm,color,note,source_run,source_method
k=4,Gemma4 local k-sweep,Gemma4 local,0.8998628257887518,0.9251302512695376,0.8482490272373541,0.9279661016949152,0.8650793650793651,0.8565815324165029,0.0849931412894376,0.04938271604938269,729,"[[438,34],[39,218]]",#4F9BD9,Old local Gemma DINOv3 CLS global k sweep; not the current vLLM probability/similarity protocol.,classification_gemma_local_554_eager_rg_icl_global_glaucoma_k4_gpu45_full,rg_icl_global
k=6,Gemma4 local k-sweep,Gemma4 local,0.9026063100137174,0.9300600145090021,0.8210116731517509,0.9470338983050848,0.8940677966101694,0.8559837728194726,0.08332304526748972,0.037791495198902625,729,"[[447,25],[46,211]]",#4F9BD9,Old local Gemma DINOv3 CLS global k sweep; not the current vLLM probability/similarity protocol.,classification_gemma_local_554_eager_rg_icl_global_glaucoma_b1_gpu12_full,rg_icl_global
k=8,Gemma4 local k-sweep,Gemma4 local,0.8957475994513031,0.9434973290245994,0.7898832684824902,0.9533898305084746,0.9022222222222223,0.842323651452282,0.08692043895747599,0.06419753086419754,729,"[[450,22],[54,203]]",#4F9BD9,Old local Gemma DINOv3 CLS global k sweep; not the current vLLM probability/similarity protocol.,classification_gemma_local_554_eager_rg_icl_global_glaucoma_k8_gpu23_full,rg_icl_global
k=10,Gemma4 local k-sweep,Gemma4 local,0.8957475994513031,0.9404718723207809,0.7859922178988327,0.9555084745762712,0.905829596412556,0.8416666666666668,0.08769890260631003,0.060973936899862836,729,"[[451,21],[55,202]]",#4F9BD9,Old local Gemma DINOv3 CLS global k sweep; not the current vLLM probability/similarity protocol.,classification_gemma_local_554_eager_rg_icl_global_glaucoma_k10_gpu34_full,rg_icl_global
