label,group,model,accuracy,auc,sensitivity,specificity,precision,f1,brier,ece,n,cm,color,note,source_run,source_method
CLS/global,Gemma4 DINOv3 ablation,Gemma4,0.897119341563786,0.9325990898898635,0.8093385214007782,0.9449152542372882,0.8888888888888888,0.8472505091649695,0.08807969821673525,0.04890260631001371,729,"[[446,26],[49,208]]",#4F9BD9,DINOv3 pooler_output/CLS global embedding; top-6 retrieval; Gemma4 vLLM temp=1.,classification_gemma4_31b_vllm_dinov3_cls_k6_temp1_nonthinking_b256,rg_icl_global_similarity
Patch mean,Gemma4 DINOv3 ablation,Gemma4,0.9259259259259259,0.9611925410538812,0.867704280155642,0.9576271186440678,0.9176954732510288,0.8920000000000001,0.06444787379972565,0.03518518518518517,729,"[[452,20],[34,223]]",#4F9BD9,"Mean over DINOv3 patch-token axis: (1024 patches, 1024 dims) -> 1024-d global embedding; top-6 retrieval; Gemma4 vLLM temp=1.",classification_gemma4_31b_vllm_dinov3_patchmean_k6_temp1_nonthinking_b256,rg_icl_global_similarity
Row mean,Gemma4 DINOv3 ablation,Gemma4,0.8367626886145405,0.8859930422739564,0.6964980544747081,0.913135593220339,0.8136363636363636,0.7505241090146749,0.13717764060356652,0.09869684499314132,729,"[[431,41],[78,179]]",#4F9BD9,"Mean over DINOv3 feature-channel axis: (1024 patches, 1024 dims) -> 1024 patch scalars; top-6 retrieval; Gemma4 vLLM temp=1.",classification_gemma4_31b_vllm_dinov3_rowmean_k6_temp1_nonthinking_b256,rg_icl_global_similarity
